Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
365,Courtney Sims\simsco01,C,25,PHO,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
366,Sean Singletary\singlse01,PG,23,PHO,13,1,9.4,0.9,2.8,0.324,0.3,0.8,0.4,0.6,2.1,0.296,0.378,0.5,0.5,1,0.4,0.8,1.2,0.9,0.5,0,0.4,1.1,2.6
379,Amar'e Stoudemire\stoudam01,PF,26,PHO,53,53,36.8,7.6,14.1,0.539,0.1,0.1,0.429,7.6,14,0.54,0.541,6.1,7.3,0.835,2.2,5.9,8.1,2,0.9,1.1,2.8,3.1,21.4
382,Stromile Swift\swiftst01,PF,29,PHO,13,0,9.3,1.2,3.2,0.366,0.1,0.1,1,1.1,3.1,0.35,0.378,0.6,1.2,0.533,0.8,1.7,2.5,0.2,0.3,0.5,0.7,1.9,3
395,Alando Tucker\tuckeal02,SG,24,PHO,30,1,9.4,1.7,4,0.43,0.3,0.8,0.348,1.5,3.3,0.449,0.463,0.9,1.1,0.788,0.6,0.4,1,0.4,0.2,0,0.5,0.5,4.6
$7 ,LaMarcus Aldridge\aldrila01,PF,$23 ,POR,81,81,37.1,7.4,15.3,0.484,0.1,0.3,0.25,7.3,15,0.489,0.486,3.2,4.1,0.781,2.9,4.6,7.5,1.9,1,1,1.5,2.6,18.1
37,Nicolas Batum\batumni01,SF,20,POR,79,76,18.4,2,4.6,0.446,0.8,2.1,0.369,1.3,2.4,0.513,0.532,0.5,0.7,0.808,1.1,1.7,2.8,0.9,0.6,0.5,0.6,1.8,5.4
38,Jerryd Bayless\bayleje01,PG,20,POR,53,0,12.4,1.3,3.6,0.365,0.1,0.5,0.259,1.2,3.1,0.383,0.384,1.6,1.9,0.806,0.2,0.9,1.1,1.5,0.3,0,1.1,1.5,4.3
46,Steve Blake\blakest01,PG,28,POR,69,69,31.7,4,9.4,0.428,2,4.8,0.427,2,4.6,0.429,0.536,0.9,1.1,0.84,0.4,2.1,2.5,5,1,0.1,1.6,1.8,11
110,Ike Diogu\dioguik01,PF,25,POR,19,0,3.8,0.3,1,0.316,0,0,,0.3,1,0.316,0.316,0.8,1.1,0.75,0.6,0.3,0.9,0,0.1,0.1,0.3,0.5,1.4
131,Rudy Fernandez\fernaru01,SG,23,POR,78,4,25.6,3.4,8.1,0.425,2,5.1,0.399,1.4,3,0.47,0.552,1.5,1.8,0.839,0.6,2.1,2.7,2,0.9,0.2,1.1,1.4,10.4
139,Channing Frye\fryech01,PF,25,POR,63,1,11.8,1.8,4.2,0.423,0.2,0.5,0.333,1.6,3.7,0.436,0.444,0.4,0.6,0.722,0.7,1.6,2.2,0.4,0.3,0.3,0.5,1.7,4.2
308,Greg Oden\odengr01,C,21,POR,61,39,21.5,3.2,5.8,0.564,0,0,,3.2,5.8,0.564,0.564,2.4,3.7,0.637,2.8,4.2,7,0.5,0.4,1.1,1.4,3.9,8.9
313,Travis Outlaw\outlatr01,SF,24,POR,81,6,27.7,4.8,10.5,0.453,1.1,2.9,0.377,3.7,7.6,0.482,0.505,2.2,3,0.723,0.9,3.2,4.1,1,0.6,0.7,1.2,2.1,12.8
331,Joel Przybilla\przybjo01,C,29,POR,82,43,23.8,2,3.3,0.625,0,0,0,2,3.3,0.627,0.625,1.4,2.1,0.663,2.5,6.3,8.7,0.3,0.4,1.2,1,2.6,5.5
335,Shavlik Randolph\randosh01,PF,25,POR,10,0,3.7,0.8,1.3,0.615,0.1,0.1,1,0.7,1.2,0.583,0.654,0.1,0.4,0.25,1,0.8,1.8,0,0,0.1,0.6,0.4,1.8
346,Sergio Rodriguez\rodrise01,PG,22,POR,80,13,15.3,1.6,4.1,0.392,0.5,1.4,0.325,1.2,2.7,0.428,0.448,0.8,1,0.792,0.5,1.1,1.6,3.6,0.7,0,1.5,1.7,4.5
351,Brandon Roy\roybr01,SG,24,POR,78,78,37.2,8.1,16.9,0.48,1.1,2.8,0.377,7.1,14.1,0.501,0.512,5.3,6.5,0.824,1.3,3.4,4.7,5.1,1.1,0.3,1.9,1.6,22.6
352,Michael Ruffin\ruffimi01,PF,32,POR,11,0,3.2,0.2,0.6,0.286,0,0,,0.2,0.6,0.286,0.286,0.2,0.2,1,0.5,0.5,1,0,0.3,0.1,0.2,0.6,0.5
417,Martell Webster\webstma02,SF,22,POR,1,0,5,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
53,Calvin Booth\boothca01,C,32,SAC,7,0,7.9,0.7,1.4,0.5,0,0,,0.7,1.4,0.5,0.5,0.9,1.1,0.75,0.6,0.9,1.4,0,0.1,0.3,0.1,1.4,2.3
