,Unnamed: 0,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
114,114,96,Eddy Curry\curryed01,C,30,DAL,2,0,12.5,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.5,2.0,0.25,1.0,1.0,2.0,0.0,0.0,0.0,1.5,3.5,4.5
115,115,107,Justin Dentmon\dentmju01,PG,27,DAL,2,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,113,Chris Douglas-Roberts\douglch01,SG,26,DAL,6,0,10.5,0.8,2.3,0.35700000000000004,0.0,0.7,0.0,0.8,1.7,0.5,0.35700000000000004,1.2,1.7,0.7,0.0,0.8,0.8,0.7,0.3,0.0,0.2,0.7,2.8
117,117,133,Derek Fisher\fishede01,PG,38,DAL,9,9,25.4,2.6,7.2,0.354,1.1,2.6,0.435,1.4,4.7,0.31,0.431,2.3,2.6,0.913,0.0,1.7,1.7,3.4,0.6,0.2,2.0,2.7,8.6
118,118,210,Bernard James\jamesbe01,C,27,DAL,46,11,9.9,1.2,2.2,0.515,0.0,0.0,0.0,1.2,2.2,0.525,0.515,0.5,0.9,0.61,1.1,1.7,2.8,0.1,0.3,0.8,0.4,1.4,2.8
119,119,213,Mike James\jamesmi01,PG,37,DAL,45,23,19.2,2.2,6.0,0.373,1.1,2.8,0.384,1.2,3.2,0.363,0.461,0.5,0.6,0.7929999999999999,0.2,1.4,1.6,3.1,0.6,0.1,1.2,2.1,6.1
120,120,231,Dahntay Jones\jonesda02,SF,32,DAL,50,15,12.7,1.0,2.8,0.35700000000000004,0.2,0.7,0.21600000000000005,0.8,2.1,0.408,0.386,1.3,1.6,0.805,0.3,1.1,1.4,0.6,0.2,0.1,0.4,1.5,3.5
121,121,233,Dominique Jones\jonesdo02,PG,24,DAL,29,3,11.7,1.4,3.8,0.3670000000000001,0.0,0.3,0.111,1.3,3.4,0.39,0.3720000000000001,1.2,1.8,0.66,0.6,0.9,1.6,2.9,0.5,0.1,1.3,1.0,4.0
122,122,242,Chris Kaman\kamanch01,C,30,DAL,66,52,20.7,4.7,9.3,0.507,0.0,0.0,0.0,4.7,9.3,0.508,0.507,1.0,1.3,0.7879999999999999,1.5,4.2,5.6,0.8,0.4,0.8,1.6,2.1,10.5
123,123,276,Shawn Marion\mariosh01,PF,34,DAL,67,67,30.0,5.3,10.3,0.514,0.3,1.1,0.315,5.0,9.2,0.5379999999999999,0.531,1.2,1.5,0.782,2.2,5.7,7.8,2.4,1.1,0.7,1.5,1.7,12.1
124,124,285,O.J. Mayo\mayooj01,SG,25,DAL,82,82,35.5,5.6,12.5,0.449,1.7,4.3,0.407,3.9,8.3,0.471,0.519,2.3,2.8,0.82,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,15.3
